2015 GEOID,State,2015 Geography Name,Note,2010 Census Total Population,2010 Census Urban Population,2010 Census Rural Population,"2010 Census 
Percent Rural",,,,,,,,,,,,,,,
01001,AL,"Autauga County, Alabama",,"54,571","31,650","22,921",42.0,,,,,,,,,,,,,,,
01003,AL,"Baldwin County, Alabama",,"182,265","105,205","77,060",42.3,,,,,,,,,,,,,,,
01005,AL,"Barbour County, Alabama",,"27,457","8,844","18,613",67.8,,,,,,,,,,,,,,,
01007,AL,"Bibb County, Alabama",,"22,915","7,252","15,663",68.4,,,,,,,,,,,,,,,
01009,AL,"Blount County, Alabama",,"57,322","5,760","51,562",90.0,,,,,,,,,,,,,,,
01011,AL,"Bullock County, Alabama",,"10,914","5,307","5,607",51.4,,,,,,,,,,,,,,,
01013,AL,"Butler County, Alabama",,"20,947","6,026","14,921",71.2,,,,,,,,,,,,,,,
01015,AL,"Calhoun County, Alabama",,"118,572","78,617","39,955",33.7,,,,,,,,,,,,,,,
01017,AL,"Chambers County, Alabama",,"34,215","17,399","16,816",49.1,,,,,,,,,,,,,,,
01019,AL,"Cherokee County, Alabama",,"25,989","3,707","22,282",85.7,,,,,,,,,,,,,,,
01021,AL,"Chilton County, Alabama",,"43,643","5,785","37,858",86.7,,,,,,,,,,,,,,,
01023,AL,"Choctaw County, Alabama",,"13,859",0,"13,859",100.0,,,,,,,,,,,,,,,
01025,AL,"Clarke County, Alabama",,"25,833","6,205","19,628",76.0,,,,,,,,,,,,,,,
01027,AL,"Clay County, Alabama",,"13,932",0,"13,932",100.0,,,,,,,,,,,,,,,
01029,AL,"Cleburne County, Alabama",,"14,972",0,"14,972",100.0,,,,,,,,,,,,,,,
01031,AL,"Coffee County, Alabama",,"49,948","26,375","23,573",47.2,,,,,,,,,,,,,,,
01033,AL,"Colbert County, Alabama",,"54,428","30,537","23,891",43.9,,,,,,,,,,,,,,,
01035,AL,"Conecuh County, Alabama",,"13,228","2,520","10,708",80.9,,,,,,,,,,,,,,,
01037,AL,"Coosa County, Alabama",,"11,539",0,"11,539",100.0,,,,,,,,,,,,,,,
01039,AL,"Covington County, Alabama",,"37,765","11,461","26,304",69.7,,,,,,,,,,,,,,,
01041,AL,"Crenshaw County, Alabama",,"13,906",0,"13,906",100.0,,,,,,,,,,,,,,,
01043,AL,"Cullman County, Alabama",,"80,406","21,517","58,889",73.2,,,,,,,,,,,,,,,
01045,AL,"Dale County, Alabama",,"50,251","24,679","25,572",50.9,,,,,,,,,,,,,,,
01047,AL,"Dallas County, Alabama",,"43,820","23,821","19,999",45.6,,,,,,,,,,,,,,,
01049,AL,"DeKalb County, Alabama",,"71,109","7,018","64,091",90.1,,,,,,,,,,,,,,,
01051,AL,"Elmore County, Alabama",,"79,303","36,330","42,973",54.2,,,,,,,,,,,,,,,
01053,AL,"Escambia County, Alabama",,"38,319","13,982","24,337",63.5,,,,,,,,,,,,,,,
01055,AL,"Etowah County, Alabama",,"104,430","65,286","39,144",37.5,,,,,,,,,,,,,,,
01057,AL,"Fayette County, Alabama",,"17,241","3,408","13,833",80.2,,,,,,,,,,,,,,,
01059,AL,"Franklin County, Alabama",,"31,704","9,395","22,309",70.4,,,,,,,,,,,,,,,
01061,AL,"Geneva County, Alabama",,"26,790","2,775","24,015",89.6,,,,,,,,,,,,,,,
01063,AL,"Greene County, Alabama",,"9,045",0,"9,045",100.0,,,,,,,,,,,,,,,
01065,AL,"Hale County, Alabama",,"15,760","1,707","14,053",89.2,,,,,,,,,,,,,,,
01067,AL,"Henry County, Alabama",,"17,302","2,119","15,183",87.8,,,,,,,,,,,,,,,
01069,AL,"Houston County, Alabama",,"101,547","67,220","34,327",33.8,,,,,,,,,,,,,,,
01071,AL,"Jackson County, Alabama",,"53,227","12,233","40,994",77.0,,,,,,,,,,,,,,,
01073,AL,"Jefferson County, Alabama",1,"658,472","593,714","64,752",9.8,,,,,,,,,,,,,,,
01075,AL,"Lamar County, Alabama",,"14,564",0,"14,564",100.0,,,,,,,,,,,,,,,
01077,AL,"Lauderdale County, Alabama",,"92,709","47,008","45,701",49.3,,,,,,,,,,,,,,,
01079,AL,"Lawrence County, Alabama",,"34,339","2,991","31,348",91.3,,,,,,,,,,,,,,,
01081,AL,"Lee County, Alabama",1,"140,251","101,806","38,441",27.4,,,,,,,,,,,,,,,
01083,AL,"Limestone County, Alabama",,"82,782","35,092","47,690",57.6,,,,,,,,,,,,,,,
01085,AL,"Lowndes County, Alabama",,"11,299",0,"11,299",100.0,,,,,,,,,,,,,,,
01087,AL,"Macon County, Alabama",,"21,452","9,536","11,916",55.5,,,,,,,,,,,,,,,
01089,AL,"Madison County, Alabama",,"334,811","279,763","55,048",16.4,,,,,,,,,,,,,,,
01091,AL,"Marengo County, Alabama",,"21,027","6,452","14,575",69.3,,,,,,,,,,,,,,,
01093,AL,"Marion County, Alabama",,"30,776","3,430","27,346",88.9,,,,,,,,,,,,,,,
01095,AL,"Marshall County, Alabama",,"93,019","43,469","49,550",53.3,,,,,,,,,,,,,,,
01097,AL,"Mobile County, Alabama",1,"412,999","330,310","82,682",20.0,,,,,,,,,,,,,,,
01099,AL,"Monroe County, Alabama",,"23,068","4,834","18,234",79.0,,,,,,,,,,,,,,,
01101,AL,"Montgomery County, Alabama",,"229,363","205,300","24,063",10.5,,,,,,,,,,,,,,,
01103,AL,"Morgan County, Alabama",,"119,490","73,370","46,120",38.6,,,,,,,,,,,,,,,
01105,AL,"Perry County, Alabama",,"10,591",0,"10,591",100.0,,,,,,,,,,,,,,,
